questionText,questionType,optionA,optionB,optionC,optionD,correctAnswer
"What does HTML stand for?",multiple_choice,"Hyper Text Markup Language","High Text Machine Language","Hyperlink Text Management Language","Home Tool Markup Language","Hyper Text Markup Language"
"What is the main purpose of HTML?",multiple_choice,"To describe the structure of web documents","To create computer viruses","To manage email accounts","To edit digital photographs","To describe the structure of web documents"
"What are web pages usually stored as?",multiple_choice,"Text files containing HTML","Audio files","Spreadsheet files","Executable programs","Text files containing HTML"
"What does a web browser do with an HTML file?",multiple_choice,"Interprets and displays the document","Deletes the document","Converts it into a database","Sends it to a printer only","Interprets and displays the document"
"What file extensions are commonly used for HTML files?",multiple_choice,".htm or .html",".doc or .docx",".jpg or .png",".mp3 or .wav",".htm or .html"
"What is hypertext?",multiple_choice,"Text or other objects linked to other objects","Text that can only be printed","A type of image file","A programming language for databases","Text or other objects linked to other objects"
"What does a hyperlink allow a user to do?",multiple_choice,"Move from one document or resource to another","Change the computer password","Increase the screen brightness","Install a printer","Move from one document or resource to another"
"Which tag identifies the root of an HTML document?",multiple_choice,"<html>","<root>","<document>","<page>","<html>"
"Which two elements define the main parts of an HTML document?",multiple_choice,"<head> and <body>","<title> and <p>","<h1> and <hr>","<meta> and <em>","<head> and <body>"
"Which element contains information about the document, such as its title and metadata?",multiple_choice,"<head>","<body>","<footer>","<main>","<head>"
"Which element contains the visible page content?",multiple_choice,"<body>","<head>","<meta>","<title>","<body>"
"Which tag sets the title shown in the browser title bar?",multiple_choice,"<title>","<heading>","<caption>","<name>","<title>"
"Which tag is used for a paragraph?",multiple_choice,"<p>","<para>","<text>","<paragraph>","<p>"
"Which tag creates the most important heading?",multiple_choice,"<h1>","<h6>","<head>","<header1>","<h1>"
"Which tag inserts a horizontal rule?",multiple_choice,"<hr>","<line>","<rule>","<br>","<hr>"
"Which tag is used to emphasize text, usually displaying it in italics?",multiple_choice,"<em>","<italic>","<strong>","<i-text>","<em>"
"Which tag is used to write an HTML comment?",text,,,,,"<!-- comment -->"
"What character set is recommended in the lesson for broad international character support?",text,,,,,UTF-8
"What does the meta element provide information about?",multiple_choice,"The document, such as its character set or HTTP-related information","The user's keyboard","The computer's battery","The website's social media followers","The document, such as its character set or HTTP-related information"
"Write the basic HTML document elements in their outer-to-inner structure.",text,,,,,"<html>, <head>, <body>"
